timestamp,agent,market,predicted,actual,current_price,squared_error,naive_se,direction_correct,methodology_version,horizon
1774936510.0,naive_baseline,regime_fall,0.165,0.115,0.165,0.0025,0.0025,False,N/A,24h
1774948644.0,momentum,regime_fall,0.178118,0.105,0.165,0.00534624,0.0036,False,1.12.0,24h
1774948644.0,naive_baseline,regime_fall,0.165,0.105,0.165,0.0036,0.0036,False,N/A,24h
1774948644.0,historian,regime_fall,0.171422,0.105,0.165,0.00441188,0.0036,False,1.12.0,24h
1774948644.0,naive_baseline,regime_fall,0.165,0.105,0.165,0.0036,0.0036,False,N/A,24h
1774948644.0,game_theorist,regime_fall,0.99,0.105,0.165,0.783225,0.0036,False,1.12.0,24h
1774948644.0,naive_baseline,regime_fall,0.165,0.105,0.165,0.0036,0.0036,False,N/A,24h
1774948644.0,quant,regime_fall,0.165,0.105,0.165,0.0036,0.0036,False,1.12.0,24h
1774948644.0,naive_baseline,regime_fall,0.165,0.105,0.165,0.0036,0.0036,False,N/A,24h
1774965917.0,momentum,regime_fall,0.178213,0.105,0.165,0.00536014,0.0036,False,1.12.0,24h
1774965917.0,naive_baseline,regime_fall,0.165,0.105,0.165,0.0036,0.0036,False,N/A,24h
1774965917.0,historian,regime_fall,0.169508,0.105,0.165,0.00416128,0.0036,False,1.12.0,24h
1774965917.0,naive_baseline,regime_fall,0.165,0.105,0.165,0.0036,0.0036,False,N/A,24h
1774965917.0,game_theorist,regime_fall,0.99,0.105,0.165,0.783225,0.0036,False,1.12.0,24h
1774965917.0,naive_baseline,regime_fall,0.165,0.105,0.165,0.0036,0.0036,False,N/A,24h
1774965918.0,quant,regime_fall,0.165,0.105,0.165,0.0036,0.0036,False,1.12.0,24h
1774965918.0,naive_baseline,regime_fall,0.165,0.105,0.165,0.0036,0.0036,False,N/A,24h
1774977123.0,momentum,regime_fall,0.131579,0.105,0.145,0.00070644,0.0016,True,1.12.0,24h
1774977123.0,naive_baseline,regime_fall,0.145,0.105,0.145,0.0016,0.0016,False,N/A,24h
1774977123.0,historian,regime_fall,0.162319,0.105,0.145,0.00328547,0.0016,False,1.12.0,24h
1774977123.0,naive_baseline,regime_fall,0.145,0.105,0.145,0.0016,0.0016,False,N/A,24h
1774977123.0,game_theorist,regime_fall,0.99,0.105,0.145,0.783225,0.0016,False,1.12.0,24h
1774977123.0,naive_baseline,regime_fall,0.145,0.105,0.145,0.0016,0.0016,False,N/A,24h
1774977124.0,quant,regime_fall,0.145,0.105,0.145,0.0016,0.0016,False,1.12.0,24h
1774977124.0,naive_baseline,regime_fall,0.145,0.105,0.145,0.0016,0.0016,False,N/A,24h
1774990712.0,momentum,regime_fall,0.137678,0.105,0.125,0.00106785,0.0004,False,1.12.0,24h
1774990712.0,naive_baseline,regime_fall,0.125,0.105,0.125,0.0004,0.0004,False,N/A,24h
1774990712.0,historian,regime_fall,0.132201,0.105,0.125,0.00073989,0.0004,False,1.12.0,24h
1774990712.0,naive_baseline,regime_fall,0.125,0.105,0.125,0.0004,0.0004,False,N/A,24h
1774990712.0,game_theorist,regime_fall,0.99,0.105,0.125,0.783225,0.0004,False,1.12.0,24h
1774990712.0,naive_baseline,regime_fall,0.125,0.105,0.125,0.0004,0.0004,False,N/A,24h
1774990713.0,quant,regime_fall,0.125,0.105,0.125,0.0004,0.0004,False,1.12.0,24h
1774990713.0,naive_baseline,regime_fall,0.125,0.105,0.125,0.0004,0.0004,False,N/A,24h
1775023652.0,momentum,regime_fall,0.126232,0.115,0.115,0.00012616,0.0,False,1.12.0,24h
1775023652.0,naive_baseline,regime_fall,0.115,0.115,0.115,0.0,0.0,False,N/A,24h
1775023653.0,historian,regime_fall,0.121306,0.115,0.115,3.977e-05,0.0,False,1.12.0,24h
1775023653.0,naive_baseline,regime_fall,0.115,0.115,0.115,0.0,0.0,False,N/A,24h
1775023653.0,game_theorist,regime_fall,0.99,0.115,0.115,0.765625,0.0,False,1.12.0,24h
1775023653.0,naive_baseline,regime_fall,0.115,0.115,0.115,0.0,0.0,False,N/A,24h
1775023653.0,quant,regime_fall,0.115001,0.115,0.115,0.0,0.0,False,1.12.0,24h
1775023653.0,naive_baseline,regime_fall,0.115,0.115,0.115,0.0,0.0,False,N/A,24h
1775035341.0,momentum,regime_fall,0.078045,0.115,0.105,0.00136567,0.0001,False,1.13.0,24h
1775035341.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775035341.0,historian,regime_fall,0.132163,0.115,0.105,0.00029457,0.0001,True,1.13.0,24h
1775035341.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775035341.0,game_theorist,regime_fall,0.99,0.115,0.105,0.765625,0.0001,True,1.13.0,24h
1775035341.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775035341.0,quant,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,1.13.0,24h
1775035341.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775052370.0,momentum,regime_fall,0.119445,0.115,0.105,1.976e-05,0.0001,True,1.13.0,24h
1775052370.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775052370.0,historian,regime_fall,0.105716,0.115,0.105,8.619e-05,0.0001,True,1.13.0,24h
1775052370.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775052370.0,game_theorist,regime_fall,0.99,0.115,0.105,0.765625,0.0001,True,1.13.0,24h
1775052370.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775052370.0,quant,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,1.13.0,24h
1775052370.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775063588.0,momentum,regime_fall,0.120744,0.115,0.105,3.299e-05,0.0001,True,1.13.0,24h
1775063588.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775063588.0,historian,regime_fall,0.106482,0.115,0.105,7.256e-05,0.0001,True,1.13.0,24h
1775063588.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775063588.0,game_theorist,regime_fall,0.726,0.115,0.105,0.373321,0.0001,True,1.13.0,24h
1775063588.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775063588.0,quant,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,1.13.0,24h
1775063588.0,naive_baseline,regime_fall,0.105,0.115,0.105,0.0001,0.0001,False,N/A,24h
1775077318.0,momentum,regime_fall,0.11349,0.135,0.105,0.00046268,0.0009,True,1.13.0,24h
1775077318.0,naive_baseline,regime_fall,0.105,0.135,0.105,0.0009,0.0009,False,N/A,24h
1775099173.0,momentum,regime_fall,0.133052,0.135,0.115,3.79e-06,0.0004,True,1.13.0,24h
1775099173.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775077318.0,historian,regime_fall,0.113742,0.135,0.105,0.0004519,0.0009,True,1.13.0,24h
1775077318.0,naive_baseline,regime_fall,0.105,0.135,0.105,0.0009,0.0009,False,N/A,24h
1775099173.0,historian,regime_fall,0.122302,0.135,0.115,0.00016124,0.0004,True,1.13.0,24h
1775099173.0,naive_baseline,regime_fall,0.115,0.135,0.115,0.0004,0.0004,False,N/A,24h
1775077318.0,game_theorist,regime_fall,0.99,0.135,0.105,0.731025,0.0009,True,1.13.0,24h
1775077318.0,naive_baseline,regime_fall,0.105,0.135,0.105,0.0009,0.0009,False,N/A,24h
1775099173.0,game_theorist,regime_fall,0.99,0.135,0.115,0.731025,0.0004,True,1.13.0,24h
